trip_id,delay_minutes,delay_reason_code
T000001,1.3,
T000002,5.9,traffic
T000003,8.6,traffic
T000004,1.3,
T000005,12.1,driver_late
T000006,9.5,driver_late
T000007,7.6,driver_late
T000008,0.9,
T000009,0.2,
T000010,5.8,route_change
T000011,0.4,
T000012,33.7,unknown
T000013,0.2,
T000014,12.2,traffic
T000015,8.9,driver_late
T000016,3.0,vehicle_issue
T000017,2.8,traffic
T000018,5.8,traffic
T000019,8.9,traffic
T000020,5.2,driver_late
T000021,3.1,vehicle_issue
T000022,2.5,driver_late
T000023,0.6,
T000024,7.6,unknown
T000025,3.1,driver_late
T000026,3.1,traffic
T000027,2.4,traffic
T000028,0.5,
T000029,10.9,traffic
T000030,8.2,vehicle_issue
T000031,9.5,traffic
T000032,5.5,traffic
T000033,2.1,traffic
T000034,3.0,traffic
T000035,11.4,driver_late
T000036,8.5,traffic
T000037,1.9,
T000038,4.2,traffic
T000039,1.5,
T000040,1.2,
T000041,0.6,
T000042,0.1,
T000043,0.5,
T000044,1.2,
T000045,1.2,
T000046,13.1,traffic
T000047,5.0,vehicle_issue
T000048,6.9,traffic
T000049,2.6,traffic
T000050,2.1,route_change
T000051,3.3,driver_late
T000052,8.1,vehicle_issue
T000053,0.4,
T000054,2.0,
T000055,8.6,traffic
T000056,9.2,traffic
T000057,10.4,route_change
T000058,4.1,traffic
T000059,8.3,unknown
T000060,4.2,traffic
T000061,8.7,traffic
T000062,2.1,traffic
T000063,4.3,route_change
T000064,8.1,vehicle_issue
T000065,1.9,
T000066,4.3,traffic
T000067,18.9,route_change
T000068,10.9,driver_late
T000069,12.0,unknown
T000070,3.3,traffic
T000071,0.5,
T000072,22.6,route_change
T000073,0.9,
T000074,2.2,traffic
T000075,1.2,
T000076,1.0,
T000077,1.1,
T000078,2.4,vehicle_issue
T000079,7.7,unknown
T000080,1.4,
T000081,7.6,unknown
T000082,1.2,
T000083,11.8,driver_late
T000084,8.6,vehicle_issue
T000085,3.6,route_change
T000086,4.0,vehicle_issue
T000087,35.4,traffic
T000088,18.1,driver_late
T000089,0.5,
T000090,3.7,unknown
T000091,0.9,
T000092,0.0,
T000093,0.7,
T000094,11.1,unknown
T000095,2.9,traffic
T000096,3.1,driver_late
T000097,2.1,traffic
T000098,1.9,
T000099,0.4,
T000100,2.6,route_change
T000101,3.3,traffic
T000102,0.0,
T000103,11.4,unknown
T000104,2.8,traffic
T000105,2.9,vehicle_issue
T000106,12.4,traffic
T000107,8.7,traffic
T000108,4.6,traffic
T000109,2.6,traffic
T000110,9.1,traffic
T000111,7.2,traffic
T000112,1.5,
T000113,2.8,traffic
T000114,1.1,
T000115,14.1,route_change
T000116,19.0,traffic
T000117,4.0,unknown
T000118,4.0,traffic
T000119,4.4,route_change
T000120,0.8,
T000121,3.4,vehicle_issue
T000122,5.3,driver_late
T000123,10.0,driver_late
T000124,4.7,driver_late
T000125,16.1,traffic
T000126,2.8,traffic
T000127,9.1,traffic
T000128,6.8,route_change
T000129,0.7,
T000130,20.5,driver_late
T000131,0.3,
T000132,0.0,
T000133,10.5,traffic
T000134,2.1,vehicle_issue
T000135,4.2,vehicle_issue
T000136,8.1,driver_late
T000137,0.5,
T000138,1.0,
T000139,6.6,traffic
T000140,1.5,
T000141,8.6,route_change
T000142,2.3,vehicle_issue
T000143,1.7,
T000144,0.9,
T000145,2.0,
T000146,10.7,driver_late
T000147,4.5,driver_late
T000148,0.5,
T000149,3.0,unknown
T000150,13.4,route_change
T000151,4.9,driver_late
T000152,13.9,driver_late
T000153,3.6,driver_late
T000154,1.7,
T000155,1.8,
T000156,3.2,driver_late
T000157,1.8,
T000158,2.3,driver_late
T000159,5.9,traffic
T000160,4.4,unknown
T000161,0.6,
T000162,4.6,traffic
T000163,2.8,driver_late
T000164,11.1,traffic
T000165,9.6,driver_late
T000166,6.9,route_change
T000167,0.1,
T000168,0.6,
T000169,6.3,traffic
T000170,15.5,driver_late
T000171,0.6,
T000172,9.1,driver_late
T000173,6.5,unknown
T000174,9.5,driver_late
T000175,0.4,
T000176,0.0,
T000177,6.6,traffic
T000178,5.4,traffic
T000179,17.7,driver_late
T000180,5.9,traffic
T000181,6.9,driver_late
T000182,0.7,
T000183,5.4,driver_late
T000184,4.0,vehicle_issue
T000185,0.3,
T000186,10.9,traffic
T000187,2.6,driver_late
T000188,1.2,
T000189,0.5,
T000190,2.1,traffic
T000191,10.8,traffic
T000192,8.2,driver_late
T000193,7.1,vehicle_issue
T000194,13.4,vehicle_issue
T000195,15.0,route_change
T000196,0.9,
T000197,7.5,traffic
T000198,0.5,
T000199,11.6,traffic
T000200,4.1,route_change
T000201,2.9,route_change
T000202,0.2,
T000203,0.4,
T000204,7.8,route_change
T000205,2.5,unknown
T000206,4.5,unknown
T000207,4.4,vehicle_issue
T000208,5.3,driver_late
T000209,2.9,route_change
T000210,1.1,
T000211,3.1,vehicle_issue
T000212,18.4,unknown
T000213,2.6,driver_late
T000214,9.2,traffic
T000215,4.9,traffic
T000216,1.8,
T000217,3.1,driver_late
T000218,10.4,vehicle_issue
T000219,12.8,traffic
T000220,5.2,traffic
T000221,7.9,driver_late
T000222,8.3,traffic
T000223,13.5,vehicle_issue
T000224,4.0,driver_late
T000225,3.5,traffic
T000226,4.7,traffic
T000227,2.1,driver_late
T000228,0.5,
T000229,2.8,unknown
T000230,5.6,traffic
T000231,2.9,route_change
T000232,3.8,traffic
T000233,2.1,driver_late
T000234,0.9,
T000235,3.8,driver_late
T000236,20.1,traffic
T000237,15.4,traffic
T000238,6.5,traffic
T000239,0.2,
T000240,17.3,unknown
T000241,1.2,
T000242,6.5,driver_late
T000243,2.3,unknown
T000244,14.2,unknown
T000245,0.4,
T000246,2.8,unknown
T000247,6.8,driver_late
T000248,2.1,vehicle_issue
T000249,3.8,vehicle_issue
T000250,12.1,vehicle_issue
T000251,1.7,
T000252,3.5,driver_late
T000253,4.4,traffic
T000254,5.5,driver_late
T000255,5.9,traffic
T000256,4.1,traffic
T000257,1.0,
T000258,5.1,traffic
T000259,2.2,vehicle_issue
T000260,6.7,traffic
T000261,5.9,traffic
T000262,6.4,vehicle_issue
T000263,1.5,
T000264,4.0,traffic
T000265,8.0,route_change
T000266,1.0,
T000267,4.5,driver_late
T000268,1.0,
T000269,5.3,vehicle_issue
T000270,13.1,driver_late
T000271,1.0,
T000272,0.6,
T000273,2.1,traffic
T000274,5.8,unknown
T000275,3.4,driver_late
T000276,5.1,driver_late
T000277,7.0,traffic
T000278,9.6,traffic
T000279,0.5,
T000280,2.1,vehicle_issue
T000281,2.7,traffic
T000282,1.6,
T000283,23.4,traffic
T000284,8.8,traffic
T000285,7.0,driver_late
T000286,5.6,traffic
T000287,3.1,vehicle_issue
T000288,0.5,
T000289,0.1,
T000290,6.0,driver_late
T000291,14.0,driver_late
T000292,7.8,vehicle_issue
T000293,1.2,
T000294,8.4,vehicle_issue
T000295,3.8,traffic
T000296,5.0,traffic
T000297,0.9,
T000298,1.4,
T000299,19.9,traffic
T000300,4.8,traffic
T000301,0.1,
T000302,2.0,
T000303,1.7,
T000304,3.3,traffic
T000305,10.3,traffic
T000306,1.5,
T000307,0.1,
T000308,2.5,traffic
T000309,3.4,route_change
T000310,3.9,driver_late
T000311,0.8,
T000312,8.8,traffic
T000313,3.2,traffic
T000314,18.0,route_change
T000315,7.2,driver_late
T000316,11.7,driver_late
T000317,3.0,driver_late
T000318,8.5,vehicle_issue
T000319,0.1,
T000320,7.6,traffic
T000321,3.8,vehicle_issue
T000322,2.0,
T000323,1.6,
T000324,2.3,vehicle_issue
T000325,0.8,
T000326,4.7,driver_late
T000327,1.1,
T000328,1.3,
T000329,9.5,driver_late
T000330,9.8,traffic
T000331,9.5,vehicle_issue
T000332,11.4,route_change
T000333,3.4,traffic
T000334,2.9,traffic
T000335,9.1,unknown
T000336,3.5,traffic
T000337,4.9,traffic
T000338,10.5,route_change
T000339,4.9,traffic
T000340,7.9,traffic
T000341,6.2,vehicle_issue
T000342,0.8,
T000343,13.2,vehicle_issue
T000344,5.6,route_change
T000345,0.5,
T000346,5.2,vehicle_issue
T000347,2.5,vehicle_issue
T000348,3.4,unknown
T000349,4.1,unknown
T000350,5.2,traffic
T000351,7.0,route_change
T000352,10.5,driver_late
T000353,7.7,route_change
T000354,0.1,
T000355,7.8,unknown
T000356,23.1,traffic
T000357,2.7,traffic
T000358,6.9,driver_late
T000359,13.9,traffic
T000360,7.9,route_change
T000361,1.0,
T000362,2.6,unknown
T000363,12.5,vehicle_issue
T000364,0.8,
T000365,13.3,route_change
T000366,4.3,traffic
T000367,6.4,traffic
T000368,2.0,
T000369,6.9,vehicle_issue
T000370,10.9,traffic
