trip_id,timestamp,lat,lon,speed
T000001,2026-06-01T08:15:00,12.96632,77.751986,13.7
T000001,2026-06-01T08:20:42.857143,12.97478,77.736937,20.0
T000001,2026-06-01T08:26:25.714286,12.979381,77.743687,33.7
T000001,2026-06-01T08:32:08.571429,12.95978,77.761893,25.0
T000001,2026-06-01T08:37:51.428571,12.970209,77.750767,34.1
T000001,2026-06-01T08:43:34.285714,12.965459,77.749985,21.4
T000001,2026-06-01T08:49:17.142857,12.967386,77.75141,24.5
T000001,2026-06-01T08:55:00,12.9698,77.75,24.7
T000002,2026-06-01T08:15:00,12.976018,77.734298,20.7
T000002,2026-06-01T08:20:00,12.967634,77.749349,34.2
T000002,2026-06-01T08:25:00,12.971133,77.739985,31.8
T000002,2026-06-01T08:30:00,12.973616,77.753499,38.8
T000002,2026-06-01T08:35:00,12.97397,77.752296,27.3
T000002,2026-06-01T08:40:00,12.963571,77.751611,30.1
T000002,2026-06-01T08:45:00,12.970479,77.746808,17.2
T000002,2026-06-01T08:50:00,12.971116,77.749951,34.8
T000002,2026-06-01T08:55:00,12.9698,77.75,37.4
T000003,2026-06-01T08:15:00,12.950503,77.760318,13.1
T000003,2026-06-01T08:20:42.857143,12.972089,77.757625,28.8
T000003,2026-06-01T08:26:25.714286,12.977411,77.746305,42.1
T000003,2026-06-01T08:32:08.571429,12.982937,77.747927,23.5
T000003,2026-06-01T08:37:51.428571,12.976029,77.75677,22.8
T000003,2026-06-01T08:43:34.285714,12.968599,77.749195,14.6
T000003,2026-06-01T08:49:17.142857,12.968488,77.748566,20.3
T000003,2026-06-01T08:55:00,12.9698,77.75,43.5
T000004,2026-06-01T08:15:00,12.838561,77.661865,32.9
T000004,2026-06-01T08:23:00,12.847513,77.679842,21.6
T000004,2026-06-01T08:31:00,12.842014,77.656461,22.4
T000004,2026-06-01T08:39:00,12.84265,77.664956,42.2
T000004,2026-06-01T08:47:00,12.844059,77.658535,32.7
T000004,2026-06-01T08:55:00,12.8452,77.6602,30.0
T000005,2026-06-01T08:15:00,12.841323,77.665635,38.8
T000005,2026-06-01T08:23:00,12.838396,77.661038,10.5
T000005,2026-06-01T08:31:00,12.837656,77.665505,18.5
T000005,2026-06-01T08:39:00,12.841836,77.660167,34.9
T000005,2026-06-01T08:47:00,12.843078,77.653238,19.3
T000005,2026-06-01T08:55:00,12.8452,77.6602,41.2
T000006,2026-06-01T08:15:00,12.849256,77.66735,33.0
T000006,2026-06-01T08:21:40,12.852345,77.668604,43.3
T000006,2026-06-01T08:28:20,12.840872,77.663404,24.3
T000006,2026-06-01T08:35:00,12.841032,77.656752,32.9
T000006,2026-06-01T08:41:40,12.846594,77.661535,25.7
