trip_id,employee_id
T000001,E00409
T000001,E00795
T000001,E00561
T000001,E00783
T000001,E00605
T000001,E00253
T000001,E00762
T000001,E00178
T000001,E00252
T000001,E00161
T000001,E00460
T000001,E00660
T000001,E00556
T000001,E00273
T000001,E00009
T000001,E00016
T000001,E00497
T000001,E00333
T000002,E00565
T000002,E00779
T000002,E00688
T000002,E00291
T000002,E00752
T000002,E00003
T000002,E00267
T000002,E00800
T000002,E00142
T000002,E00773
T000002,E00459
T000002,E00086
T000002,E00018
T000002,E00258
T000002,E00572
T000002,E00406
T000002,E00199
T000002,E00191
T000003,E00325
T000003,E00297
T000003,E00630
T000003,E00647
T000003,E00038
T000003,E00337
T000003,E00329
T000003,E00051
T000003,E00549
T000004,E00082
T000004,E00218
T000004,E00672
T000004,E00536
T000004,E00524
T000004,E00798
T000004,E00456
T000004,E00579
T000004,E00037
T000004,E00655
T000004,E00631
T000004,E00159
T000004,E00265
T000004,E00153
T000004,E00388
T000004,E00680
T000004,E00597
T000004,E00702
T000005,E00315
T000005,E00693
T000005,E00723
T000005,E00022
T000005,E00087
T000005,E00716
T000005,E00577
T000005,E00515
T000005,E00767
T000005,E00096
T000005,E00542
T000005,E00607
T000005,E00080
T000005,E00596
T000005,E00186
T000005,E00756
T000005,E00052
T000005,E00335
T000006,E00731
T000006,E00732
T000006,E00448
T000006,E00676
T000006,E00754
T000006,E00033
T000006,E00759
T000007,E00581
T000007,E00137
T000007,E00699
T000007,E00260
T000007,E00134
T000007,E00678
T000007,E00259
T000007,E00338
T000008,E00126
T000008,E00185
T000008,E00738
T000008,E00011
T000008,E00024
T000008,E00717
T000008,E00438
T000008,E00465
T000009,E00240
T000009,E00500
T000009,E00751
T000009,E00364
T000009,E00124
T000009,E00443
T000009,E00564
T000009,E00154
T000010,E00661
T000010,E00140
T000010,E00675
T000010,E00469
T000010,E00551
T000010,E00382
T000010,E00532
T000010,E00730
T000011,E00557
T000011,E00510
T000011,E00616
T000011,E00176
T000011,E00619
T000011,E00173
T000011,E00769
