trip_id,route_id,driver_id,vendor_id,shift_id,scheduled_pickup_time,actual_pickup_time,scheduled_drop_time,actual_drop_time,distance_km,cost,mode,status
T000001,R003,D0093,V4,S1,2026-06-01T08:15:00,2026-06-01T08:16:18,2026-06-01T09:00:00,2026-06-01T09:00:00,23.4,147.6,shuttle,completed
T000002,R003,D0113,V2,S1,2026-06-01T08:15:00,2026-06-01T08:20:54,2026-06-01T09:00:00,2026-06-01T09:01:34.865643,23.6,148.4,shuttle,completed
T000003,R003,D0071,V5,S1,2026-06-01T08:15:00,2026-06-01T08:23:36,2026-06-01T09:00:00,2026-06-01T09:07:21.518916,21.4,128.5,shuttle,completed
T000004,R006,D0109,V4,S1,2026-06-01T08:15:00,2026-06-01T08:16:18,2026-06-01T09:00:00,2026-06-01T09:00:00,20.0,129.4,shuttle,completed
T000005,R006,D0088,V5,S1,2026-06-01T08:15:00,2026-06-01T08:27:06,2026-06-01T09:00:00,2026-06-01T09:11:01.803958,18.7,119.7,shuttle,completed
T000006,R006,D0020,V2,S1,2026-06-01T08:15:00,2026-06-01T08:24:30,2026-06-01T09:00:00,2026-06-01T09:07:24.634505,20.4,117.7,shuttle,completed
T000007,R008,D0011,V2,S1,2026-06-01T08:15:00,2026-06-01T08:22:36,2026-06-01T09:00:00,2026-06-01T09:03:06.333194,8.6,120.0,nodal,completed
T000008,R008,D0002,V2,S1,2026-06-01T08:15:00,2026-06-01T08:15:54,2026-06-01T09:00:00,2026-06-01T09:00:00,8.7,131.1,nodal,completed
T000009,R008,D0117,V1,S1,2026-06-01T08:15:00,2026-06-01T08:15:12,2026-06-01T09:00:00,2026-06-01T09:00:05.179402,9.3,134.6,nodal,completed
T000010,R008,D0032,V1,S1,2026-06-01T08:15:00,2026-06-01T08:20:48,2026-06-01T09:00:00,2026-06-01T09:02:05.837676,8.8,123.5,nodal,completed
T000011,R008,D0051,V2,S1,2026-06-01T08:15:00,2026-06-01T08:15:24,2026-06-01T09:00:00,2026-06-01T09:00:00,9.2,137.5,nodal,completed
T000012,R011,D0010,V1,S1,2026-06-01T08:15:00,2026-06-01T08:48:42,2026-06-01T09:00:00,2026-06-01T09:30:05.905941,8.6,128.2,nodal,completed
T000013,R011,D0094,V2,S1,2026-06-01T08:15:00,2026-06-01T08:15:12,2026-06-01T09:00:00,2026-06-01T09:00:00,8.2,114.0,nodal,completed
T000014,R011,D0081,V2,S1,2026-06-01T08:15:00,2026-06-01T08:27:12,2026-06-01T09:00:00,2026-06-01T09:10:59.037632,7.9,127.7,nodal,completed
T000015,R011,D0032,V1,S1,2026-06-01T08:15:00,2026-06-01T08:23:54,2026-06-01T09:00:00,2026-06-01T09:07:50.574883,8.5,141.0,nodal,completed
T000016,R011,D0094,V2,S1,2026-06-01T08:15:00,2026-06-01T08:18:00,2026-06-01T09:00:00,2026-06-01T09:00:00,8.4,118.4,nodal,completed
T000017,R013,D0120,V5,S1,2026-06-01T08:15:00,2026-06-01T08:17:48,2026-06-01T09:00:00,2026-06-01T09:01:47.744553,11.8,264.6,cab,completed
T000018,R013,D0080,V1,S1,2026-06-01T08:15:00,2026-06-01T08:20:48,2026-06-01T09:00:00,2026-06-01T09:00:48.820522,11.5,241.5,cab,completed
T000019,R013,D0016,V5,S1,2026-06-01T08:15:00,2026-06-01T08:23:54,2026-06-01T09:00:00,2026-06-01T09:05:19.429083,10.6,248.2,cab,completed
T000020,R013,D0013,V5,S1,2026-06-01T08:15:00,2026-06-01T08:20:12,2026-06-01T09:00:00,2026-06-01T09:04:39.189172,11.4,242.9,cab,completed
T000021,R013,D0099,V5,S1,2026-06-01T08:15:00,2026-06-01T08:18:06,2026-06-01T09:00:00,2026-06-01T09:00:11.844511,11.1,243.2,cab,completed
T000022,R013,D0055,V3,S1,2026-06-01T08:15:00,2026-06-01T08:17:30,2026-06-01T09:00:00,2026-06-01T09:00:47.079996,11.2,243.8,cab,completed
T000023,R013,D0112,V1,S1,2026-06-01T08:15:00,2026-06-01T08:15:36,2026-06-01T09:00:00,2026-06-01T09:00:00,10.7,241.0,cab,completed
T000024,R013,D0085,V3,S1,2026-06-01T08:15:00,2026-06-01T08:22:36,2026-06-01T09:00:00,2026-06-01T09:05:27.134148,10.8,236.8,cab,completed
T000025,R013,D0048,V5,S1,2026-06-01T08:15:00,2026-06-01T08:18:06,2026-06-01T09:00:00,2026-06-01T09:00:06.908751,11.3,245.2,cab,completed
T000026,R013,D0016,V5,S1,2026-06-01T08:15:00,2026-06-01T08:18:06,2026-06-01T09:00:00,2026-06-01T09:00:32.752539,10.6,236.1,cab,completed
T000027,R013,D0056,V1,S1,2026-06-01T08:15:00,2026-06-01T08:17:24,2026-06-01T09:00:00,2026-06-01T09:01:43.039586,11.8,255.3,cab,completed
T000028,R018,D0109,V4,S1,2026-06-01T08:15:00,2026-06-01T08:15:30,2026-06-01T09:00:00,2026-06-01T09:00:00,15.2,97.9,shuttle,completed
T000029,R018,D0072,V2,S1,2026-06-01T08:15:00,2026-06-01T08:25:54,2026-06-01T09:00:00,2026-06-01T09:10:32.751508,15.7,95.5,shuttle,completed
T000030,R018,D0044,V4,S1,2026-06-01T08:15:00,2026-06-01T08:23:12,2026-06-01T09:00:00,2026-06-01T09:05:36.675262,15.7,99.4,shuttle,completed
T000031,R020,D0058,V1,S1,2026-06-01T08:15:00,2026-06-01T08:24:30,2026-06-01T09:00:00,2026-06-01T09:06:08.002285,9.8,153.5,nodal,completed
T000032,R020,D0010,V1,S1,2026-06-01T08:15:00,2026-06-01T08:20:30,2026-06-01T09:00:00,2026-06-01T09:05:28.086635,9.8,135.1,nodal,completed
T000033,R020,D0058,V1,S1,2026-06-01T08:15:00,2026-06-01T08:17:06,2026-06-01T09:00:00,2026-06-01T09:00:02.082959,10.1,145.9,nodal,completed
T000034,R020,D0030,V2,S1,2026-06-01T08:15:00,2026-06-01T08:18:00,2026-06-01T09:00:00,2026-06-01T09:01:49.916632,9.7,142.7,nodal,completed
T000035,R020,D0040,V1,S1,2026-06-01T08:15:00,2026-06-01T08:26:24,2026-06-01T09:00:00,2026-06-01T09:10:39.502861,10.8,160.1,nodal,completed
T000036,R020,D0080,V1,S1,2026-06-01T08:15:00,2026-06-01T08:23:30,2026-06-01T09:00:00,2026-06-01T09:05:34.164374,9.6,146.3,nodal,completed
