trip_id,base_fare,surcharge,total_cost,billing_month
T000001,15,15.6,147.6,2026-06
T000002,15,15.4,148.4,2026-06
T000003,15,6.5,128.5,2026-06
T000004,15,14.4,129.4,2026-06
T000005,15,11.2,119.7,2026-06
T000006,15,0.7,117.7,2026-06
T000007,40,2.6,120.0,2026-06
T000008,40,12.8,131.1,2026-06
T000009,40,10.9,134.6,2026-06
T000010,40,4.3,123.5,2026-06
T000011,40,14.7,137.5,2026-06
T000012,40,10.8,128.2,2026-06
T000013,40,0.2,114.0,2026-06
T000014,40,16.6,127.7,2026-06
T000015,40,24.5,141.0,2026-06
T000016,40,2.8,118.4,2026-06
T000017,80,19.4,264.6,2026-06
T000018,80,0.5,241.5,2026-06
T000019,80,19.8,248.2,2026-06
T000020,80,3.3,242.9,2026-06
T000021,80,7.8,243.2,2026-06
T000022,80,7.0,243.8,2026-06
T000023,80,11.2,241.0,2026-06
T000024,80,5.6,236.8,2026-06
T000025,80,7.0,245.2,2026-06
T000026,80,7.7,236.1,2026-06
T000027,80,10.1,255.3,2026-06
T000028,15,6.9,97.9,2026-06
T000029,15,2.0,95.5,2026-06
T000030,15,5.9,99.4,2026-06
T000031,40,25.3,153.5,2026-06
T000032,40,6.9,135.1,2026-06
T000033,40,15.0,145.9,2026-06
T000034,40,15.4,142.7,2026-06
T000035,40,22.9,160.1,2026-06
T000036,40,19.9,146.3,2026-06
T000037,80,2.7,317.9,2026-06
T000038,80,13.8,329.0,2026-06
T000039,80,6.6,327.4,2026-06
T000040,80,7.7,314.5,2026-06
T000041,80,31.0,350.4,2026-06
T000042,80,12.1,338.5,2026-06
T000043,80,9.8,333.4,2026-06
T000044,80,7.4,325.4,2026-06
T000045,80,16.8,340.4,2026-06
T000046,80,15.1,324.7,2026-06
T000047,80,18.3,353.1,2026-06
T000048,80,15.2,338.8,2026-06
T000049,15,3.9,123.9,2026-06
T000050,15,30.4,160.9,2026-06
T000051,15,9.4,118.4,2026-06
T000052,15,9.8,124.8,2026-06
T000053,40,3.1,125.0,2026-06
T000054,40,9.9,127.3,2026-06
T000055,40,17.0,143.4,2026-06
T000056,40,6.4,122.0,2026-06
T000057,40,17.8,132.5,2026-06
T000058,40,11.0,126.6,2026-06
T000059,40,11.8,128.3,2026-06
T000060,80,3.2,244.2,2026-06
T000061,80,4.8,243.0,2026-06
T000062,80,15.6,253.8,2026-06
T000063,80,3.5,233.3,2026-06
T000064,80,11.0,253.4,2026-06
T000065,80,9.5,247.7,2026-06
T000066,80,2.3,244.7,2026-06
T000067,15,15.1,107.6,2026-06
T000068,15,18.1,111.6,2026-06
T000069,40,13.1,144.9,2026-06
T000070,40,15.2,141.6,2026-06
T000071,40,16.7,149.4,2026-06
T000072,40,9.6,143.2,2026-06
T000073,80,14.2,326.6,2026-06
T000074,80,15.1,342.9,2026-06
T000075,80,8.9,338.1,2026-06
T000076,80,1.8,326.8,2026-06
T000077,80,18.6,350.6,2026-06
T000078,80,11.7,329.7,2026-06
T000079,80,11.5,346.3,2026-06
T000080,80,15.4,339.0,2026-06
T000081,15,17.4,149.9,2026-06
T000082,15,17.1,142.1,2026-06
T000083,15,6.9,122.4,2026-06
T000084,40,17.7,141.4,2026-06
T000085,40,11.3,135.0,2026-06
