incident_id,trip_id,incident_type,severity
I00001,T000130,near_miss,high
I00002,T000134,harsh_braking,low
I00003,T000287,speeding,medium
I00004,T000394,speeding,low
I00005,T000672,harsh_braking,low
I00006,T000682,near_miss,high
I00007,T000863,harsh_braking,low
I00008,T001243,near_miss,low
I00009,T001463,minor_collision,low
I00010,T001575,minor_collision,medium
I00011,T001596,harsh_braking,low
I00012,T001867,minor_collision,low
I00013,T002022,speeding,high
I00014,T002046,near_miss,low
I00015,T002244,minor_collision,high
I00016,T002395,speeding,low
I00017,T002679,speeding,high
I00018,T002974,minor_collision,low
I00019,T003168,near_miss,low
I00020,T003180,near_miss,medium
I00021,T003208,speeding,low
I00022,T003285,minor_collision,high
I00023,T003357,harsh_braking,high
I00024,T003390,harsh_braking,low
I00025,T003458,speeding,medium
I00026,T003464,near_miss,low
I00027,T003479,harsh_braking,low
I00028,T003671,minor_collision,medium
I00029,T003811,speeding,high
I00030,T003830,speeding,low
I00031,T003834,minor_collision,medium
I00032,T003880,harsh_braking,low
I00033,T003987,harsh_braking,high
I00034,T003992,harsh_braking,medium
I00035,T004007,near_miss,high
I00036,T004035,speeding,low
I00037,T004064,speeding,low
I00038,T004086,harsh_braking,low
I00039,T004104,harsh_braking,high
I00040,T004391,near_miss,low
I00041,T004704,minor_collision,low
I00042,T004721,near_miss,high
I00043,T004909,minor_collision,medium
I00044,T004962,speeding,high
I00045,T004963,near_miss,high
I00046,T005053,minor_collision,low
I00047,T005161,near_miss,high
I00048,T005529,near_miss,medium
I00049,T005725,harsh_braking,medium
I00050,T005853,harsh_braking,low
I00051,T006110,harsh_braking,high
I00052,T006292,minor_collision,low
I00053,T006420,minor_collision,high
I00054,T006664,minor_collision,high
I00055,T006812,harsh_braking,low
